image_path,insertion_auc,deletion_auc,highest_confidence,sensitive_insertion_auc,sensitive_deletion_auc,sensitive_highest_confidence,point_game_box,point_game_mask
000000497599.jpg,0.6338081359863281,0.1494770050048828,0.87890625,0.6338081359863281,0.1494770050048828,0.87890625,1.0,1.0
000000498857.jpg,0.99993896484375,0.99981689453125,1.0,,,,0.0,0.0
000000505573.jpg,0.007746577262878418,0.013362973928451538,0.0263671875,,,,1.0,1.0
000000506310.jpg,0.586796760559082,0.29765892028808594,0.8671875,0.586796760559082,0.29765892028808594,0.8671875,1.0,1.0
000000057149.jpg,0.9945068359375,0.936279296875,1.0,0.9945068359375,0.936279296875,1.0,0.0,0.0
000000515025.jpg,0.13190150260925293,0.05599091434851289,0.310546875,,,,0.0,0.0
000000516143.jpg,0.7692053318023682,0.5399444103240967,0.9375,0.7692053318023682,0.5399444103240967,0.9375,0.0,0.0
000000519338.jpg,0.5645046234130859,0.7212228775024414,0.953125,0.5645046234130859,0.7212228775024414,0.953125,0.0,0.0
000000520531.jpg,0.5177035331726074,0.20729182660579681,0.8671875,0.5177035331726074,0.20729182660579681,0.8671875,1.0,1.0
000000521282.jpg,0.1291634701192379,0.18869286263361573,0.40625,,,,1.0,1.0
000000522940.jpg,0.997039794921875,0.995819091796875,1.0,,,,0.0,0.0
000000528705.jpg,5.677086301147938e-05,2.5665038265287876e-05,0.0001087188720703125,,,,1.0,1.0
000000533536.jpg,7.84682561061345e-06,3.590492997318506e-05,3.814697265625e-05,,,,0.0,0.0
000000534601.jpg,0.99847412109375,0.99993896484375,1.0,,,,1.0,1.0
000000542423.jpg,0.99810791015625,0.96502685546875,1.0,,,,1.0,1.0
000000549738.jpg,0.0326460599899292,0.04160410910844803,0.138671875,,,,0.0,0.0
000000550322.jpg,0.5409943461418152,0.05278554558753967,0.83203125,0.5409943461418152,0.05278554558753967,0.83203125,1.0,1.0
000000550426.jpg,0.30606367252767086,0.4005582481622696,0.60546875,,,,0.0,0.0
000000556873.jpg,0.001472308300435543,0.01222366641741246,0.019287109375,,,,0.0,0.0
000000557672.jpg,0.7776947021484375,0.28062009811401367,0.984375,0.7776947021484375,0.28062009811401367,0.984375,1.0,1.0
000000561256.jpg,0.2762942314147949,0.12026005238294601,0.466796875,0.2762942314147949,0.12026005238294601,0.466796875,0.0,0.0
000000561465.jpg,0.00371739937691018,0.00010549649596214294,0.0145263671875,,,,1.0,1.0
000000564091.jpg,0.23892730474472046,0.2799497526139021,0.87890625,0.23892730474472046,0.2799497526139021,0.87890625,0.0,0.0
000000565776.jpg,0.11093342304229736,0.00031635910272598267,0.328125,,,,1.0,1.0
000000568690.jpg,0.20119726657867432,0.4676244258880615,0.3984375,,,,1.0,1.0
000000570169.jpg,0.99847412109375,0.98876953125,1.0,,,,1.0,1.0
000000572462.jpg,0.005134940147399902,0.00946199893951416,0.011962890625,,,,0.0,0.0
000000575500.jpg,0.6382827758789062,0.1313648223876953,0.81640625,,,,0.0,0.0
000000578545.jpg,0.9080810546875,0.899932861328125,0.99609375,,,,1.0,1.0
000000580410.jpg,0.5965728759765625,0.14752495288848877,0.79296875,,,,0.0,0.0
